# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
8.871422400139391E+09	-5.540284912424441E-01	-1.782180357611814E+02	-5.504785246036569E+01	1.342047913640664E+02	-5.510393921230875E+01	1.339677586158913E+02	-1.109912131063472E+00	1.773940462886105E+02	
8.889425904668140E+09	-5.512813181647289E-01	-1.780238754952656E+02	-5.508207162501943E+01	1.336871794295382E+02	-5.513243409123873E+01	1.335200625243674E+02	-1.112748306796624E+00	1.775535036660002E+02	
8.907465945184061E+09	-5.592754284150412E-01	-1.777281447941278E+02	-5.511939653438908E+01	1.333374638680219E+02	-5.515009785330685E+01	1.330536752317203E+02	-1.126777673213520E+00	1.777884738752929E+02	
8.925542595832697E+09	-5.686138893782202E-01	-1.776843462920178E+02	-5.512569567724007E+01	1.328537113540623E+02	-5.517694538465192E+01	1.327709225323854E+02	-1.141726941894447E+00	1.777363070543455E+02	
8.943655930909918E+09	-5.872565760973882E-01	-1.780323452050510E+02	-5.514503158126142E+01	1.321536378814008E+02	-5.517425014645642E+01	1.319570193829557E+02	-1.158062567268650E+00	1.772945092877781E+02	
8.961806024862516E+09	-5.873157554120076E-01	-1.783699125888049E+02	-5.515491207077745E+01	1.313236982196576E+02	-5.521299838270861E+01	1.312772583001036E+02	-1.155446738225038E+00	1.769207661334823E+02	
8.979992952288216E+09	-5.754304653637197E-01	-1.780982123577306E+02	-5.519783133316406E+01	1.311598552836810E+02	-5.523079950548275E+01	1.310877547082326E+02	-1.147893217269623E+00	1.771494182298003E+02	
8.998216787936277E+09	-5.716066342701586E-01	-1.777457300215363E+02	-5.521040543533979E+01	1.309100112829357E+02	-5.526665093065397E+01	1.306212365165723E+02	-1.144932731922272E+00	1.774566850177409E+02	
9.016477606707504E+09	-5.617417911891381E-01	-1.776848790375946E+02	-5.521942433231278E+01	1.302487108820678E+02	-5.527591758521389E+01	1.300356503747859E+02	-1.138195443812178E+00	1.774880878740798E+02	
9.034775483654856E+09	-5.841726374424534E-01	-1.780062376423018E+02	-5.524747016976630E+01	1.295116792167075E+02	-5.529043526420608E+01	1.293346426686650E+02	-1.160344823667314E+00	1.771549004216474E+02	
9.053110493983450E+09	-5.788249999930245E-01	-1.781661836582936E+02	-5.528857464744434E+01	1.290385150983950E+02	-5.532090096645535E+01	1.288107229847592E+02	-1.160280995901602E+00	1.769879174532846E+02	
9.071482713051178E+09	-5.864234162744544E-01	-1.777472192552411E+02	-5.530366821878643E+01	1.287906939822029E+02	-5.536046489024638E+01	1.286434090581616E+02	-1.170251784302905E+00	1.774714509046326E+02	
9.089892216368706E+09	-5.777322730650614E-01	-1.773710103565271E+02	-5.532934823206116E+01	1.283290944540088E+02	-5.536681010848429E+01	1.283332091849462E+02	-1.160369123606908E+00	1.777688225335919E+02	
